onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.675	358.705	BlockDesign														1.0	1.0	21.0	50.0	0.0
3.675	5.755999999999999	trials	1.0	5.3007290000000005	7.222981	8.408309	8.615008	2.107436	7.553834			2.0	1.0	0.0	3.0					
12.8	6.539999999999999	trials	1.0	14.630579	16.330903	19.029797	19.420535	13.138537	18.215021			2.0	2.0	0.0	3.0					
21.429	19.587	trials	1.0	36.060333	37.741652	39.387281	39.563206	35.176795	38.563345	40.01	41.016	2.0	1.0	1.0	1.0					
43.145	13.074999999999996	trials	1.0	52.545982	54.237046	56.126222	56.238695	51.605624	54.231031			2.0		0.0	2.0					
60.3	5.2250000000000085	trials	1.0	62.225549	63.512323	64.589393	65.03527700000001	60.941249	63.946112			2.0	1.0	0.0	3.0					
66.976	5.055999999999997	trials	1.0	68.770432	69.797706	71.753127	72.111403	65.633637	70.966669			2.0	2.0	0.0	3.0					
74.05	7.775000000000006	trials	1.0	77.126881	78.99200300000001	80.19629800000001	80.35541599999999	76.58892700000001	79.57999799999999	80.681	81.825	2.0	1.0	1.0	1.0					
84.976	14.619	trials	1.0	94.961906	96.192781	97.96088900000001	98.15713600000001	94.289806	97.072472	89.05	99.595	2.0	1.0	1.0	1.0					
103.611	21.013999999999996	trials	1.0	121.061035	123.144676	124.31317000000001	124.48818700000001	120.354064	123.647963			2.0	1.0	0.0	3.0					
126.631	16.063999999999993	trials	1.0	137.955431	139.46392400000002	141.038804	141.22191800000002	136.975954	140.31793000000002	141.795	142.695	2.0	1.0	1.0	1.0					
144.784	14.27200000000002	trials	1.0	154.40054600000002	155.532209	157.383607	157.519691	153.86576300000002	156.578956	158.005	159.056	2.0	1.0	1.0	1.0					
162.081	17.52000000000001	trials	1.0	174.636349	175.65741400000002	178.49960000000002	178.932311	174.04051900000002	177.326896			2.0	1.0	0.0	3.0					
182.816	44.91900000000001	trials	1.0	222.526184	224.12919100000002	225.99451100000002	226.18010800000002	221.552436	225.201728	226.53	227.735	2.0	1.0	1.0	1.0					
230.831	11.454000000000008	trials	1.0	239.30143900000002	240.625235	241.983461	242.177591	238.754027	241.263122			2.0	1.0	0.0	3.0					
244.295	11.080000000000013	trials	1.0	250.557004	252.653872	254.219684	254.43937400000002	249.924824	253.415717			2.0	1.0	0.0	3.0					
256.566	4.969000000000051	trials	1.0	258.25255400000003	259.397392	261.228815	261.63461	255.480892	260.474765			2.0	2.0	0.0	3.0					
263.545	47.32499999999999	trials	1.0	307.19120300000003	308.58405500000003	309.86170400000003	310.056738	306.642463	309.100055			2.0	1.0	1.0	1.0					
314.298	10.016999999999996	trials	1.0	319.741193	321.447761	322.66342000000003	322.804634	318.920315	321.914663	323.266	324.315	2.0	1.0	1.0	1.0					
326.345	13.25	trials	1.0	335.366164	336.937943	339.30598100000003	339.478618	334.503833	338.312498			2.0	1.0	0.0	3.0					
343.605	8.71999999999997	trials	1.0	347.941426	349.593457	352.08457	352.406207	347.400505	351.084067			2.0	2.0	0.0	3.0					
355.331	7.048999999999978	trials	1.0	358.911332	360.09569	362.269811	362.485985	358.312528	361.37269000000003			2.0	1.0	0.0	3.0					
366.579	358.926	BlockDesign														1.0	22.0	42.0	0.0	50.0
366.579	7.380999999999972	trials	2.0	368.667998	370.457692	372.245104	372.574022	363.420123	371.315832	372.737	373.96	3.0	2.0	1.0	1.0					
376.055	9.007999999999981	trials	2.0	381.591872	383.649173	384.73051	385.164457	381.00151700000004	384.087683			3.0	2.0	0.0	3.0					
388.056	46.769000000000005	trials	2.0	430.628223	431.752513	433.126909	433.374659	429.828205	432.553555	433.675	434.825	3.0	2.0	1.0	1.0					
436.88	8.340000000000032	trials	2.0	441.637073	443.166249	444.906442	445.329917	440.686682	444.039101			3.0	2.0	0.0	3.0					
447.155	8.200000000000045	trials	2.0	450.686985	451.983424	454.222123	454.543275	449.936245	453.359464			3.0	2.0	0.0	3.0					
458.526	11.913999999999987	trials	2.0	467.48168200000003	469.048991	470.169014	470.535751	466.823219	469.483447			3.0	2.0	0.0	3.0					
473.438	8.847000000000037	trials	2.0	478.64702900000003	480.333466			477.925457	480.32890000000003			3.0		0.0	2.0					
484.365	6.284999999999968	trials	2.0	486.371524	487.398506	488.876648	489.193945	480.689399	488.007069	489.58	490.65	3.0	2.0	1.0	1.0					
492.666	10.213999999999999	trials	2.0	498.967311	500.418808	502.569632	502.981508	498.274666	501.65692			3.0	2.0	0.0	3.0					
505.951	9.884000000000015	trials	2.0	509.852198	511.029646	514.011809	514.249539	509.198629	513.069167	514.74	515.835	3.0	2.0	1.0	1.0					
517.895	21.00999999999999	trials	2.0	533.37867	535.001713	537.83189	538.151534	532.726511	536.473917			3.0	2.0	1.0	1.0					
543.29	9.795000000000073	trials	2.0	548.401908	550.433966	552.791454	553.144442	547.485254	551.714726			3.0	2.0	0.0	3.0					
557.169	9.240999999999985	trials	2.0	560.11189	562.200331	564.714956	565.107622	559.123066	563.598108	565.237	566.41	3.0	2.0	1.0	1.0					
568.499	10.150999999999954	trials	2.0	574.432414	576.242495	578.311709	578.759729	573.707879	577.410443			3.0	2.0	0.0	3.0					
580.561	8.759000000000015	trials	2.0	584.422523	585.623744	587.701038	588.022005	583.6791020000001	586.883203	588.352	589.32	3.0	2.0	1.0	1.0					
