onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
4.749	561.946	BlockDesign														1.0	1.0	23.0	50.0	0.0
4.749	15.386000000000003	trials	1.0	16.986198	18.491444	19.420173	20.204693	16.240696999999997	18.808641			2.0	1.0	0.0	3.0					
21.75	18.155	trials	1.0	36.155048	37.371542	38.236052	38.674346	35.243469000000005	37.706407	38.951	39.905	2.0	1.0	1.0	1.0					
41.951	30.529000000000003	trials	1.0	67.919825	69.844467	70.859265	71.340102	67.28333	70.244587	71.5	72.48	2.0	1.0	1.0	1.0					
75.545	11.685000000000002	trials	1.0	83.964819	85.455411	86.368403	87.299949	83.343215	85.744196			2.0	1.0	0.0	3.0					
88.63	19.210000000000008	trials	1.0	104.495177	106.396778	107.349887	107.912049	103.582773	106.768122			2.0	1.0	0.0	3.0					
111.685	16.544999999999987	trials	1.0	125.059719	126.646394	127.780548	128.303256	124.491311	127.037567			2.0	1.0	0.0	3.0					
130.175	23.839999999999975	trials	1.0	149.47486700000002	150.82642299999998	151.909716	152.30447900000001	148.64522399999998	151.345217	152.576	154.015	2.0	1.0	1.0	1.0					
157.1	20.694999999999993	trials	1.0	174.139856	175.290888	176.22215599999998	176.629503	173.39159999999998	175.63768800000003	177.036	177.795	2.0	1.0	1.0	1.0					
179.811	14.008999999999986	trials	1.0	190.616036	191.84672999999998	192.80981000000003	193.893485	189.650889	192.193418			2.0	2.0	0.0	3.0					
197.071	10.855999999999995	trials	1.0	203.520078	205.305632	206.15187600000002	206.59088300000002	202.642094	205.54999800000002	206.77	207.927	2.0	1.0	1.0	1.0					
209.991	17.188999999999993	trials	1.0	223.790522	225.63674099999997	226.52015	227.25098100000002	222.84821899999997	225.79773799999998			2.0	1.0	0.0	3.0					
229.86	8.934999999999974	trials	1.0	234.781088	236.80134600000002	237.86478	238.869551	233.98468400000002	237.22475100000003			2.0	1.0	0.0	3.0					
240.21	24.366000000000014	trials	1.0	261.76038500000004	262.980417	263.842443	264.645455	261.016538	263.265237			2.0	1.0	0.0	3.0					
266.153	20.286999999999978	trials	1.0	282.165819	283.911069	285.61661300000003	286.51387800000003	281.225946	283.846635			2.0	2.0	0.0	3.0					
289.963	25.04499999999996	trials	1.0	310.555592	312.601688	313.487141	313.866168	309.780849	312.60350600000004	314.161	315.008	2.0	1.0	1.0	1.0					
318.096	25.454000000000008	trials	1.0	339.520662	340.769409	341.839249	342.220434	338.980141	341.200309	342.485	343.55	2.0	1.0	1.0	1.0					
346.573	16.826999999999998	trials	1.0	358.91600700000004	360.652661	361.60057	362.047008	358.341156	361.00363100000004	362.366	363.4	2.0	1.0	1.0	1.0					
365.492	84.834	trials	1.0	448.334895	448.34317400000003			447.800594				2.0		0.0	2.0					
454.411	40.399	trials	1.0	492.03641400000004	492.872795			491.10965	492.86442600000004			2.0		0.0	2.0					
496.841	10.248999999999967	trials	1.0	503.612643	505.259874	506.603073	507.161274	502.79127900000003	505.898865			2.0	1.0	0.0	3.0					
510.931	12.891999999999996	trials	1.0	520.471092	521.879499			519.503697	521.868437			2.0		0.0	2.0					
525.835	18.809999999999945	trials	1.0	541.476131	543.1439300000001	544.047767	544.716507	540.857706	543.461208			2.0	2.0	0.0	3.0					
546.295	20.40000000000009	trials	1.0	562.346344	563.873542	564.939588	565.3112610000001	561.793525	564.246944	565.536	566.695	2.0	1.0	1.0	1.0					
568.743	684.2419999999998	BlockDesign														1.0	24.0	60.0	0.0	50.0
568.743	8.16199999999992	trials	2.0	572.0516210000001	573.801662	574.9165810000001	575.201093	571.497018	574.301912	575.52	576.905	3.0	2.0	1.0	1.0					
578.925	7.965000000000032	trials	2.0	583.3272450000001	585.048281	586.0789120000001	586.961831	582.797246	585.422603			3.0	1.0	0.0	3.0					
589.335	14.684999999999945	trials	2.0	599.740547	600.81332	602.027247	602.386473	598.973579	601.391112	602.62	604.02	3.0	2.0	1.0	1.0					
608.04	13.504999999999995	trials	2.0	615.7965810000001	617.444985	620.2019740000001	621.6167790000001	615.1464990000001	617.440698			3.0		0.0	2.0					
622.525	18.20500000000004	trials	2.0	635.961804	637.3648880000001	638.7323	639.046845	635.1758130000001	637.77174	639.375	640.73	3.0	2.0	1.0	1.0					
644.621	7.014999999999986	trials	2.0	647.926998	649.673301	650.430547	651.711044	647.361636	649.777254			3.0	2.0	0.0	3.0					
652.701	18.504999999999995	trials	2.0	667.0616	669.115396	670.047995	671.279412	666.4084740000001	669.433059			3.0	2.0	0.0	3.0					
