onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
4.561	456.026	BlockDesign														1.0	1.0	20.0	50.0	0.0
4.561	16.334	trials	1.0	16.385726	18.044721000000003	18.86	19.092963	15.5364	18.311261000000002	19.65	20.895	2.0	1.0	1.0	1.0					
23.915	8.165	trials	1.0	29.420699	30.990744	31.715575	32.072927	28.748992	31.154052			2.0	1.0	0.0	3.0					
34.063	26.732999999999997	trials	1.0	57.541877	59.481924	60.353459	60.777082	56.986299	59.721924			2.0	1.0	0.0	3.0					
62.815	55.290000000000006	trials	1.0	113.755877	115.462727	116.141577	116.367693	112.792286	115.68828500000001	116.965	118.105	2.0	1.0	1.0	1.0					
120.216	18.149000000000015	trials	1.0	135.550875	136.688212	137.929611	138.366182	134.65019	137.112695			2.0	1.0	0.0	3.0					
140.327	28.158000000000015	trials	1.0	166.002158	167.202558	168.155346	168.485349	165.429828	167.550362			2.0	2.0	0.0	3.0					
172.496	20.595	trials	1.0	189.870404	191.50298	192.688731	193.016214	189.27758	192.039891			2.0	1.0	0.0	3.0					
196.02	22.144999999999982	trials	1.0	214.332392	215.528381	216.296081	216.556545	213.54576600000001	215.813951	216.924	218.165	2.0	1.0	1.0	1.0					
222.254	8.361000000000018	trials	1.0	226.365948	227.932407	228.772095	228.972204	225.600684	228.237104	229.389	230.615	2.0	1.0	1.0	1.0					
232.635	12.01000000000002	trials	1.0	241.69960700000001	242.727981	244.163201	244.646682	240.940629	243.518793			2.0	1.0	0.0	3.0					
246.573	25.06699999999998	trials	1.0	267.481137	268.715663	269.587794	269.770431	266.493768	269.050785	270.24	271.64	2.0	1.0	1.0	1.0					
274.657	21.341000000000008	trials	1.0	292.832615	294.742375	295.540224	295.963854	292.059404	294.955097			2.0	1.0	0.0	3.0					
297.996	21.099000000000046	trials	1.0	316.620984	317.952957	318.738789	319.099649	316.001763	318.208545			2.0	1.0	0.0	3.0					
321.055	24.021000000000015	trials	1.0	340.752672	342.212622	343.154691	343.413227	339.972109	342.658329	343.926	345.076	2.0	1.0	1.0	1.0					
348.172	13.33299999999997	trials	1.0	357.096533	358.702121	359.47719	359.71734	356.241165	358.937268	360.275	361.505	2.0	1.0	1.0	1.0					
365.596	11.949000000000012	trials	1.0	374.716542	376.32744	377.120003	377.548408	374.065815	376.603794			2.0	1.0	0.0	3.0					
