onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
4.552	448.507	BlockDesign														1.0	1.0	20.0	50.0	0.0
4.552	10.68	trials	1.0	12.222293	14.043889	14.710153	15.261199000000001	11.348189000000001	14.242541000000001			2.0	1.0	0.0	3.0					
17.107	15.64	trials	1.0	28.781950000000002	29.988496	30.673718	31.127122	27.792877	30.202222	31.457	32.747	2.0	1.0	1.0	1.0					
34.872	26.731	trials	1.0	57.607177	58.825889000000004	59.584462	60.004619	56.626052	59.058312	60.367	61.603	2.0	1.0	1.0	1.0					
64.696	14.915999999999997	trials	1.0	76.63381100000001	78.33934099999999	79.048257	79.63807399999999	75.71099000000001	78.591724			2.0	1.0	0.0	3.0					
82.468	12.448999999999998	trials	1.0	92.03726800000001	93.532534	94.39715100000001	94.94335899999999	91.49552600000001	93.87787900000001			2.0	1.0	0.0	3.0					
96.842	20.625	trials	1.0	113.57217399999999	115.58044699999999	116.267935	116.64194800000001	113.04261199999999	115.807985			2.0	1.0	1.0	1.0					
121.901	20.87599999999999	trials	1.0	139.358398	141.28556600000002	142.25373100000002	142.804619	138.79327600000002	141.724502			2.0	1.0	0.0	3.0					
144.607	21.944999999999993	trials	1.0	162.297136	163.955371	164.560583	164.982092	161.682906	164.14867900000002	150.737	166.552	2.0	1.0	1.0	1.0					
168.627	36.91	trials	1.0	202.598125	203.774617	204.569153	205.198172	201.733091	204.045814			2.0	1.0	0.0	3.0					
208.892	13.14500000000001	trials	1.0	219.03744400000002	220.912652	221.50844	222.062903	218.505728	221.07275800000002			2.0	1.0	0.0	3.0					
223.967	20.644999999999982	trials	1.0	240.277811	241.569425	242.748794	243.03039700000002	239.52865400000002	242.304706	243.387	244.612	2.0	1.0	1.0	1.0					
247.632	24.694999999999993	trials	1.0	269.759436	270.96418900000003	271.772153	272.357588	268.823165	271.321949			2.0	2.0	0.0	3.0					
276.112	11.464999999999975	trials	1.0	283.929441	285.75485000000003	286.408424	286.80113900000003	283.395373	285.926156			2.0	1.0	1.0	1.0					
289.947	15.644999999999982	trials	1.0	302.973614	304.216998	304.982349	305.61766900000003	302.337405	304.471582			2.0	1.0	0.0	3.0					
308.403	14.47399999999999	trials	1.0	318.622697	319.97522000000004	320.81133	321.233188	318.023012	320.34108100000003	321.607	322.877	2.0	1.0	1.0	1.0					
324.965	17.84200000000004	trials	1.0	340.18343600000003	341.214269	342.227418	342.83309	339.542231	341.628323			2.0	1.0	0.0	3.0					
345.622	13.370000000000005	trials	1.0	356.578346	357.65968	358.423126	359.019905	355.769264	357.932192			2.0	1.0	0.0	3.0					
362.764	15.057999999999993	trials	1.0	373.38458	375.373564	375.965328	376.350503	372.46461800000003	375.506875	376.697	377.822	2.0	1.0	1.0	1.0					
379.892	35.94	trials	1.0	411.32347300000004	412.84135100000003	413.797285	414.188765	410.732603	412.974475	414.577	415.832	2.0	1.0	1.0	1.0					
417.917	35.14200000000005	trials	1.0	450.69867700000003	452.33070100000003	452.953301	453.556491	449.955419	452.463821			2.0	1.0	0.0	3.0					
457.359	499.613	BlockDesign														1.0	21.0	40.0	0.0	50.0
457.359	17.093000000000018	trials	2.0	470.139088	471.900097	472.476287	472.781924	469.34688	472.128884	473.228	474.452	3.0	2.0	1.0	1.0					
477.558	47.323999999999955	trials	2.0	519.863679	521.626268	522.395162	522.568765	519.284208	522.045947	523.237	524.882	3.0	2.0	1.0	1.0					
526.902	45.57999999999993	trials	2.0	569.774002	571.182627	571.953434	572.511341	569.111995	571.527872			3.0	2.0	0.0	3.0					
574.353	17.774	trials	2.0	589.6545150000001	590.936863	591.551687	592.032152	589.019352	591.19615			3.0	2.0	0.0	3.0					
593.952	17.150999999999954	trials	2.0	608.305733	609.837947	610.437362	611.134135	607.795445	610.079176			3.0	2.0	0.0	3.0					
