onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.753	615.005	BlockDesign														1.0	1.0	29.0	50.0	0.0
3.753	11.709999999999999	trials	1.0	11.759262	13.320981999999999	13.82011	14.03521	11.068278	13.418543999999999	14.608	15.463	2.0	1.0	1.0	1.0					
19.483	9.02	trials	1.0	26.279545	27.440541	28.139046999999998	28.478005	25.7347	27.783699			2.0	1.0	0.0	3.0					
30.513	19.115	trials	1.0	45.959269	47.620143999999996			45.300357999999996	47.610468			2.0		0.0	2.0					
52.658	16.409999999999997	trials	1.0	65.75913	67.5504	68.71262100000001	68.931363	64.987402	68.15560299999999			2.0	2.0	0.0	3.0					
73.078	30.545	trials	1.0	100.379245	102.00557799999999	103.211703	103.51600199999999	99.798453	102.775444			2.0	1.0	0.0	3.0					
106.635	14.992999999999995	trials	1.0	119.40476699999999	120.48156399999999	121.25951799999999	121.60050999999999	118.83988299999999	120.913599			2.0	1.0	0.0	3.0					
123.704	18.423999999999992	trials	1.0	138.344185	139.630954	140.412149	140.65673800000002	137.369047	140.042023	141.173	142.128	2.0	1.0	1.0	1.0					
144.219	12.194000000000017	trials	1.0	153.57480900000002	154.79823100000002	156.003681	156.343813	152.669659	155.39787			2.0	2.0	0.0	3.0					
160.423	7.2549999999999955	trials	1.0	164.429327	165.451414	167.30438800000002	167.55666	163.836837	166.74373500000002			2.0	2.0	0.0	3.0					
170.733	22.539999999999992	trials	1.0	190.344718	192.14056	192.866274	193.09968600000002	189.636237	192.481923			2.0	1.0	0.0	3.0					
195.352	17.206999999999994	trials	1.0	208.36991700000002	209.87213400000002	210.747396	211.039252	207.487732	210.404077	211.453	212.559	2.0	1.0	1.0	1.0					
214.688	21.325000000000017	trials	1.0	233.744865	235.00614000000002	235.672922	235.88308800000001	232.945089	235.344335			2.0	1.0	0.0	3.0					
239.078	20.816000000000003	trials	1.0	254.429732	255.709323	256.482866	256.731855	253.484283	256.118497			2.0	1.0	0.0	3.0					
260.908	21.190999999999974	trials	1.0	278.754847	280.316834	281.73677599999996	281.967669	277.809661	281.358384			2.0	1.0	0.0	3.0					
284.105	63.13799999999998	trials	1.0	342.709996	344.776656	345.446059	345.704434	341.813386	345.041206	346.168	347.243	2.0	1.0	1.0	1.0					
349.263	11.215000000000032	trials	1.0	355.42639299999996	357.317046	358.50999299999995	358.710205	354.51228399999997	357.961096	359.203	360.478	2.0	1.0	1.0	1.0					
